time,target_speed,current_speed,throttle,brake
0.621563,1.99988,0.179353,1,0
0.651849,1.99989,0.128938,0.835323,0
0.718808,1.99989,0.0789431,0.966448,0
0.784552,1.99989,0.0574105,1,0
0.874008,1.99989,0.0272923,1,0
0.925942,1.99989,0.0203286,1,0
0.973215,1.99989,0.012632,1,0
1.02704,1.99989,0.00976088,1,0
1.07629,1.9999,0.252026,1,0
1.12093,1.99999,0.957329,1,0
1.17441,2.00006,1.80195,0.715974,0
1.2226,1.99984,2.40523,0.564903,0
1.28346,2.00012,2.9083,0.379733,0
1.32771,2.00003,3.21957,0.26435,0
1.38438,1.9999,3.46964,0.114456,0
1.42483,2.00045,3.58283,0.0247295,0
1.47719,2,3.68077,0,0
1.54102,1.99998,3.69651,0,0.23154
1.58688,1.99998,3.64253,0,0.3112
1.63614,2.00005,3.61963,0,0.400335
1.67148,2.00006,3.48561,0,0.442554
1.72768,1.99998,3.44162,0,0.513683
1.7726,1.99946,3.23939,0,0.517484
1.82529,2.0006,3.07585,0,0.524358
1.87206,1.99992,2.94786,0,0.536677
1.92098,2.00023,2.80322,0,0.534124
1.97029,1.99987,2.64428,0,0.517287
2.0224,2.00002,2.50254,0,0.497775
2.07282,1.99994,2.39901,0,0.485513
2.12011,2.00022,2.23164,0,0.44072
2.17143,2.00012,2.12752,0,0.411958
2.2238,1.99992,2.00663,0,0
2.27031,1.99981,1.8874,0,0.32128
2.32374,2.00011,1.85558,0,0.301365
2.37299,1.99986,1.77053,0,0.257928
2.42466,2.00001,1.68015,0,0.20705
2.47142,2,1.6106,0,0
2.52609,2.00002,1.54418,0,0
2.57592,2.00005,1.51161,0,0
2.62618,2.00005,1.48574,0,0
2.67455,1.99997,1.4469,0.013674,0
2.71919,1.99996,1.44013,0.0398275,0
2.77766,2.00002,1.39875,0.0995661,0
2.833,2.00002,1.37279,0.140864,0
2.87201,2.00002,1.35608,0.182069,0
2.92595,2.00002,1.35707,0.215024,0
2.97763,2.00002,1.37212,0.243661,0
3.02538,2.00002,1.39407,0.270927,0
3.07521,1.99996,1.44061,0.282178,0
3.12588,1.99999,1.47679,0.305137,0
3.1752,2.00003,1.54621,0.300197,0
3.2335,1.99997,1.61899,0.298712,0
3.27612,1.99988,1.67538,0.305015,0
3.32398,2.00004,1.75666,0.286269,0
3.37544,2.00009,1.80619,0.291558,0
3.42091,2.00008,1.88607,0.263713,0
3.47463,2.00009,1.95188,0,0
3.52189,1.99995,2.01806,0,0
3.57238,1.99996,2.04758,0,0
3.62236,2.00005,2.04735,0,0
3.67475,2,2.03064,0,0
3.72628,2,2.00095,0,0
3.77649,1.99994,1.96388,0,0
3.82209,1.9999,1.92726,0,0
