position,max_position,obs_position,jerk_position,lp_position,max_time,obs_filtered_time,jerk_filtered_time,max_velocity,obs_filtered_velocity,jerk_filtered_velocity,lp_time,lp_velocity,lp_acceleration,lp_jerk,
0,0,0,0,0,0,0,0,8,2,2,0,2.16459,-0.724661,0.230722,
1,1,1,1,1,0.125,0.5,0.5,8,2,2,0.555886,1.79893,-0.618072,-0.687061,
2,2,2,2,2,0.25,1,1,8,2,2,1.26299,1.41421,-1,1.41421,
3,3,3,2,2,0.375,1.5,1.1,8,0,0,1.36299,0,3.82217e-22,-0,
4,4,3,2,2,0.5,1.6,1.2,8,0,0,1.46299,1.59121e-11,-1.02415e-22,1.18799e-33,
5,5,3,2,2,0.625,1.7,1.3,8,0,0,1.56299,7.45058e-12,-2.77556e-23,2.06795e-34,
6,6,3,2,2,0.75,1.8,1.4,8,0,0,1.66299,0,-4.156e-33,0,
7,7,3,2,2,0.875,1.9,1.5,8,0,0,1.76299,0,-5.195e-34,0,
8,8,3,2,2,1,2,1.6,8,0,0,1.86299,0,-5.195e-34,0,
9,9,3,2,2,1.125,2.1,1.7,8,0,0,1.96299,0,-5.195e-34,0,
10,10,3,2,2,1.25,2.2,1.8,8,0,0,2.06299,0,-5.195e-34,0,
11,11,3,2,2,1.375,2.3,1.9,8,0,0,2.16299,0,-5.195e-34,0,
12,12,3,2,2,1.5,2.4,2,8,0,0,2.26299,0,-5.195e-34,0,
13,13,3,2,2,1.625,2.5,2.1,8,0,0,2.36299,0,-5.195e-34,0,
14,14,3,2,2,1.75,2.6,2.2,8,0,0,2.46299,0,-5.195e-34,0,
15,15,3,2,2,1.875,2.7,2.3,8,0,0,2.56299,0,-5.195e-34,0,
16,16,3,2,2,2,2.8,2.4,8,0,0,2.66299,0,-5.195e-34,0,
17,17,3,2,2,2.125,2.9,2.5,8,0,0,2.76299,0,-5.195e-34,0,
18,18,3,2,2,2.25,3,2.6,8,0,0,2.86299,0,-5.195e-34,0,
19,19,3,2,2,2.375,3.1,2.7,8,0,0,2.96299,0,-5.195e-34,0,
20,20,3,2,2,2.5,3.2,2.8,8,0,0,3.06299,0,-5.195e-34,0,
21,21,3,2,2,2.625,3.3,2.9,8,0,0,3.16299,0,-5.195e-34,0,
22,22,3,2,2,2.75,3.4,3,8,0,0,3.26299,0,-5.195e-34,0,
23,23,3,2,2,2.875,3.5,3.1,8,0,0,3.36299,0,-5.195e-34,0,
24,24,3,2,2,3,3.6,3.2,8,0,0,3.46299,0,-5.195e-34,0,
25,25,3,2,2,3.125,3.7,3.3,8,0,0,3.56299,0,-5.195e-34,0,
26,26,3,2,2,3.25,3.8,3.4,8,0,0,3.66299,0,-5.195e-34,0,
27,27,3,2,2,3.375,3.9,3.5,8,0,0,3.76299,0,-5.195e-34,0,
28,28,3,2,2,3.5,4,3.6,8,0,0,3.86299,0,-5.195e-34,0,
29,29,3,2,2,3.625,4.1,3.7,8,0,0,3.96299,0,-5.195e-34,0,
30,30,3,2,2,3.75,4.2,3.8,8,0,0,4.06299,0,-5.195e-34,0,
31,31,3,2,2,3.875,4.3,3.9,8,0,0,4.16299,0,-5.195e-34,0,
32,32,3,2,2,4,4.4,4,8,0,0,4.26299,0,-5.195e-34,0,
33,33,3,2,2,4.125,4.5,4.1,8,0,0,4.36299,0,-5.195e-34,0,
34,34,3,2,2,4.25,4.6,4.2,8,0,0,4.46299,0,-5.195e-34,0,
35,35,3,2,2,4.375,4.7,4.3,8,0,0,4.56299,0,-5.195e-34,0,
36,36,3,2,2,4.5,4.8,4.4,8,0,0,4.66299,0,-5.195e-34,0,
37,37,3,2,2,4.625,4.9,4.5,8,0,0,4.76299,0,-5.195e-34,0,
38,38,3,2,2,4.75,5,4.6,8,0,0,4.86299,0,-5.195e-34,0,
39,39,3,2,2,4.875,5.1,4.7,8,0,0,4.96299,0,-5.195e-34,0,
40,40,3,2,2,5,5.2,4.8,8,0,0,5.06299,0,-5.195e-34,0,
41,41,3,2,2,5.125,5.3,4.9,8,0,0,5.16299,0,-5.195e-34,0,
42,42,3,2,2,5.25,5.4,5,8,0,0,5.26299,0,-5.195e-34,0,
43,43,3,2,2,5.375,5.5,5.1,8,0,0,5.36299,0,-5.195e-34,0,
44,44,3,2,2,5.5,5.6,5.2,8,0,0,5.46299,0,-5.195e-34,0,
45,45,3,2,2,5.625,5.7,5.3,8,0,0,5.56299,0,-5.195e-34,0,
46,46,3,2,2,5.75,5.8,5.4,8,0,0,5.66299,0,1.039e-33,-0,
46.7334,46.7334,3,2,2,5.84168,5.9,5.5,0,0,0,5.76299,0,-0,-0,
