time,ego_speed,obstacle_speed
1.75405e+09,0.155225,0.00139522,25
1.75405e+09,0.0105383,0.0153929,25
1.75405e+09,0.000280328,0.00025182,25
1.75405e+09,0.63611,0.690645,25
1.75405e+09,3.13038,2.95584,25
1.75405e+09,4.55421,2.58665,24
1.75405e+09,5.92646,2.61798,23
1.75405e+09,5.20944,2.78715,21
1.75405e+09,5.21236,2.92853,20
1.75405e+09,5.42004,2.59001,18
1.75405e+09,4.7951,2.66241,17
1.75405e+09,4.33903,2.96145,16
1.75405e+09,4.75664,2.57969,15
1.75405e+09,4.20509,2.7035,14
1.75405e+09,4.03254,3.0277,14
1.75405e+09,3.7879,2.5154,13
1.75405e+09,4.19681,2.88757,12
1.75405e+09,3.48815,2.86812,12
1.75405e+09,3.989,2.70938,11
1.75405e+09,3.24322,3.12249,11
1.75405e+09,3.59388,2.60065,11
1.75405e+09,2.98646,3.10425,10
1.75405e+09,3.18284,2.50747,10
1.75405e+09,3.03679,3.00904,10
1.75405e+09,2.98055,2.60307,10
1.75405e+09,2.67823,2.8444,10
1.75405e+09,2.82106,3.056,10
1.75405e+09,3.23106,2.68151,10
1.75405e+09,2.6635,3.12547,10
1.75405e+09,3.13848,2.60004,10
1.75405e+09,2.88354,3.03037,10
1.75405e+09,2.96312,2.50104,10
1.75405e+09,2.97979,3.00043,10
1.75405e+09,2.79466,2.58529,10
1.75405e+09,3.21583,2.82741,10
1.75405e+09,2.64469,2.87802,10
1.75405e+09,3.30369,2.71767,10
1.75405e+09,2.64938,3.11584,10
1.75405e+09,3.06209,2.53799,10
1.75405e+09,2.86225,3.04705,10
1.75405e+09,2.89476,2.50701,10
1.75405e+09,3.19809,2.87755,10
1.75405e+09,2.72454,2.72174,10
1.75405e+09,3.19886,2.8237,10
1.75405e+09,2.63378,2.87743,10
1.75405e+09,3.29766,2.71353,10
1.75405e+09,2.63549,3.12581,9
1.75405e+09,2.8719,2.6098,9
1.75405e+09,2.34721,3.07139,10
1.75405e+09,2.67331,2.52111,9
1.75405e+09,2.70036,2.89764,9
1.75405e+09,2.42927,2.72803,9
1.75405e+09,3.29588,2.78359,10
1.75405e+09,2.76428,3.10705,9
1.75405e+09,2.39053,2.60223,10
1.75405e+09,3.12989,3.05291,9
1.75405e+09,2.49127,2.63674,9
1.75405e+09,2.82246,2.69494,10
1.75405e+09,2.96243,3.13372,9
1.75405e+09,2.93044,2.55406,10
1.75405e+09,2.82088,3.06797,9
1.75405e+09,2.61077,2.51294,10
1.75405e+09,2.91491,2.87403,9
1.75405e+09,2.31636,2.86878,9
1.75405e+09,3.24175,2.76294,10
1.75405e+09,2.71842,3.10584,10
1.75405e+09,3.20097,2.65515,10
1.75405e+09,2.63527,3.12395,9
1.75405e+09,3.10046,2.55401,10
1.75405e+09,2.72993,3.00163,9
1.75405e+09,3.1746,2.58907,9
1.75405e+09,2.56055,2.84049,9
1.75405e+09,2.86465,2.88762,10
1.75405e+09,2.93984,2.72729,9
1.75405e+09,2.33216,3.13213,10
1.75405e+09,3.28219,2.55848,10
1.75405e+09,2.64763,3.01651,10
1.75405e+09,3.14792,2.52215,9
1.75405e+09,2.51658,2.92191,9
1.75405e+09,3.18133,2.90868,10
1.75405e+09,2.66123,2.78879,10
1.75405e+09,2.83169,-1,-1
1.75405e+09,4.15664,-1,-1
1.75405e+09,6.03175,-1,-1
1.75405e+09,7.23099,-1,-1
1.75405e+09,7.23617,-1,-1
