time,ego_speed,ego_acc,obs_speed,obs_s,light_state
0.548372,0.206572,4.85591,0.19932,15,0
1.04851,0.00983394,4.88049,0.0125199,15,0
1.59855,0.000171189,4.88164,1.0252e-05,15,0
2.14555,1.69194,4.48179,3.24619e-05,15,0
2.64776,3.29251,3.80223,2.874,14,0
3.1987,4.62768,2.1523,2.59187,14,0
3.74702,4.45707,1.47623,2.55139,12,0
4.29658,4.27643,1.91177,2.73135,12,0
4.84778,4.00653,1.9185,2.91956,11,0
5.39874,3.93672,1.18762,2.69183,10,0
5.94926,3.70309,1.62302,2.60296,10,0
6.49736,3.35468,1.63327,2.8722,9,0
7.04545,3.43068,1.43417,2.80592,9,0
7.54783,3.04376,2.09395,2.637,9,0
8.09665,3.17656,1.01383,2.98435,8,0
8.59729,2.5804,1.98781,2.49563,8,0
9.14651,3.23026,0.752279,2.81368,8,0
9.64917,2.69363,1.96366,2.85267,8,0
10.1973,3.14068,0.878093,2.68158,8,0
10.6982,2.59126,2.30435,3.15492,8,0
11.2457,3.03089,1.07093,2.57664,8,0
11.7484,2.66242,2.14201,3.07839,8,0
12.25,2.94839,1.2289,2.52314,8,0
12.7968,2.9222,1.56934,2.95922,8,0
13.298,2.81554,1.56811,2.59209,8,0
13.7999,3.06759,1.20274,2.88979,8,0
14.3473,2.68961,1.9856,2.87894,8,0
14.8475,3.14879,0.926885,2.77475,8,0
15.3983,2.56973,2.31638,3.10591,8,0
15.8987,3.06678,1.03657,2.65034,8,0
16.4487,2.65116,2.16943,3.09268,8,0
16.9979,2.89532,1.33431,2.49859,8,0
17.4984,2.93673,1.56236,2.99665,8,0
18.0479,2.7648,1.66275,2.57177,8,0
18.5494,3.15609,0.988454,2.88264,8,0
19.0495,2.69724,1.8816,2.71642,8,0
19.5972,3.13597,0.95721,2.77323,8,0
20.1485,2.53428,2.37683,3.10901,8,0
20.698,2.9662,1.24211,2.60458,8,0
21.2482,2.73601,1.99525,3.05502,8,0
21.7488,2.84996,1.43753,2.50149,8,0
22.2961,3.05468,1.2783,2.9566,8,0
22.7988,2.93214,1.31461,2.5965,8,0
23.3002,2.97279,1.41653,2.89057,8,0
23.8485,2.79547,0.396877,2.87921,7,0
24.3957,3.11369,0.969891,2.71598,8,0
24.8963,2.65926,2.16625,3.11403,8,0
25.3984,3.15187,0.825901,2.64911,8,0
25.9478,2.64188,0.985962,3.10921,7,0
26.4478,3.38746,1.27539,3.98846,8,0
26.9993,2.96971,1.90128,3.64953,8,0
27.4994,3.14045,1.08245,2.9604,8,0
28.0495,2.5594,1.95137,2.34867,8,0
28.5965,2.78947,1.17437,1.8647,8,0
29.099,2.60439,1.39592,1.51206,8,0
29.648,2.0892,1.13383,1.19842,7,0
30.1979,1.65732,1.96592,0.773198,7,0
30.7484,1.31514,0.971949,6.64501e-05,6,0
31.2971,1.04366,-0.746928,0,5,1
31.7976,0.84397,0.143027,0,5,1
32.3463,0.676801,-4.44807,0,4,1
32.8483,1.6474,-15.7814,0,4,1
33.4012,0.806696,-37.3291,0,3,1
33.9482,3.35214e-05,-15.0007,0,3,1
34.4483,0,-15,0,3,1
34.9976,0,-15,0,3,1
35.4978,0,-15,0,3,1
36.0484,0,-15,0,3,1
36.5486,0,-15,0,3,1
37.0499,0,-15,0,3,1
37.5965,0,-15,0,3,1
38.0984,0,-15,0,3,1
38.646,0,-15,0,3,1
39.1504,0,-15,0,3,1
39.6993,0,-15,0,3,1
40.2468,0,-15,0,3,1
40.7484,0,-15,0,3,1
41.2492,0,-15,0,3,1
41.7499,0,-15,0,3,1
42.2994,0,-15,0,3,1
42.8466,0,-15,0,3,1
43.3487,0,-15,0,3,1
43.8976,0,-15,0,3,1
44.4471,0,-15,0,3,1
44.9476,0,-15,0,3,1
45.4486,0,-15,0,3,1
45.9493,0,-15,0,3,1
46.4954,0,-15,0,3,1
46.9976,0,-15,0,3,1
47.5481,0,-15,0,3,1
48.0987,0,-15,0,3,1
48.6486,0,-15,0,3,1
49.2002,0,-15,0,3,1
49.7498,0,-15,0,3,1
50.2983,0,-15,0,3,1
50.7985,0,-15,0,3,1
51.3487,0,-15,0,3,1
51.8992,0,-15,0,3,1
52.4506,0,-15,0,3,1
52.9993,0,-15,0,3,1
53.5487,0,-15,0,3,1
54.049,0,-15,0,3,1
54.5968,0,-15,0,3,1
55.0984,0,-15,0,3,1
55.6473,0,-15,0,3,1
56.1489,0,-15,0,3,1
56.6962,0,-15,0,3,1
57.1977,0,-15,0,3,1
57.7467,0,-15,0,3,1
58.2473,0,-15,0,3,1
58.7982,0,-15,0,3,1
59.3005,0,-15,0,3,1
59.8477,0,-15,0,3,1
60.3479,0,-15,0,3,1
60.8993,0,-15,0.000211752,3,3
61.4463,0,-15,0.00752099,3,3
61.9472,0,-15,0.122287,3,3
62.4481,0,-15,0.595433,3,3
62.9997,0,0,1.36422,4,3
63.5482,0,2.77778,2.36577,5,3
64.0482,0.811546,2.93297,2.68197,6,3
64.5986,1.55824,2.87171,2.78252,7,3
