time,ego_speed,ego_acc,obs_speed,obs_s,light_state,yield_flag
0.545842,0.179038,5,,,0,0
1.04609,0.00614249,5,,,0,0
1.54793,0.000126649,5,,,0,0
2.09818,1.44841,4.99463,,,0,0
2.6468,3.42641,4.83175,,,0,0
3.19732,4.97013,4.25513,,,0,0
3.74623,6.08966,3.32126,,,0,0
4.2474,7.45229,1.23497,,,0,0
4.77987,6.62843,1.65342,0.000000,37.000000,0,1
5.2813,6.35417,1.94944,0.000000,34.000000,0,1
5.83026,5.94333,2.30968,0.000000,30.000000,0,1
6.33134,6.43201,1.11712,0.000000,27.000000,0,1
6.84883,5.5026,2.32048,0.000000,24.000000,0,1
7.38623,5.78375,1.26695,0.000000,21.000000,0,1
7.90203,5.0711,1.77014,0.000000,18.000000,0,1
8.40295,4.76201,1.64087,0.000000,16.000000,0,1
8.95234,3.91946,1.8319,0.000000,13.000000,0,1
9.49956,3.48543,0.534522,0.000000,10.000000,0,1
10.0503,2.77195,-0.0501781,0.000000,8.000000,0,1
10.5515,2.24581,-2.97942,0.000000,6.000000,0,1
11.0997,1.56971,-7833.05,0.000000,4.000000,0,1
11.6475,0.000102579,-1995.21,0.000000,4.000000,0,1
12.1509,0.957646,4.99897,,,0,0
12.7005,3.35408,4.84551,,,0,0
13.2471,5.48521,3.89495,,,0,0
13.7478,7.15134,1.80729,,,0,0
14.2964,6.64719,2.61679,,,0,0
14.7972,7.01347,2.04646,,,0,0
15.3457,7.2776,1.57578,,,0,0
15.8478,6.96187,2.13243,,,0,0
16.3974,6.69055,2.554,,,0,0
16.9485,7.1892,1.73913,,,0,0
17.4975,7.17057,1.7728,,,0,0
18.0454,6.64118,2.6254,,,0,0
18.5456,7.24616,1.63456,,,0,0
19.046,7.10134,1.89564,,,0,0
19.546,6.70787,2.52857,,,0,0
20.0472,7.32191,1.4916,,,0,0
20.5949,7.03485,2.01029,,,0,0
21.0966,6.85866,2.29873,,,0,0
21.6472,7.35855,1.42087,,,0,0
22.1477,6.98071,2.10126,,,0,0
22.6976,6.66134,2.59643,,,0,0
23.2472,7.1232,1.85724,,,0,0
23.7971,7.39411,1.35116,,,0,0
24.2984,6.78203,2.41745,,,0,0
24.8452,6.97015,2.11877,,,0,0
