x,y
-32.7355,2.02658
-31.7355,2.02653
-30.7355,2.02648
-29.7355,2.02643
-28.7355,2.02638
-27.7355,2.02633
-26.7355,2.02628
-25.7355,2.02623
-24.7355,2.02618
-23.7355,2.02613
-22.7355,2.02608
-21.7355,2.02603
-20.7355,2.02598
-19.7355,2.02593
-18.7355,2.02589
-17.7355,2.02584
-16.7355,2.02579
-15.7356,2.01364
-14.737,1.96524
-13.7414,1.874
-12.7507,1.73971
-11.7668,1.56263
-10.7915,1.34309
-9.82652,1.08148
-8.87373,0.778296
-7.93488,0.434081
-7.01291,0.0468117
-6.10936,-0.381524
-5.2253,-0.848563
-4.36237,-1.35346
-3.53031,-1.90713
-2.73767,-2.51513
-1.9923,-3.18051
-1.29817,-3.89982
-0.664527,-4.67345
-0.0982606,-5.49732
0.404904,-6.36059
0.842373,-7.25869
1.21186,-8.18688
1.51138,-9.14028
1.73929,-10.1139
1.87935,-11.104
1.9438,-12.1014
1.96107,-13.101
1.96118,-14.101
1.96126,-15.101
1.96134,-16.101
1.96142,-17.101
1.9615,-18.101
1.96158,-19.101
1.9616,-19.3755
