x,y,right_x,right_y
-54.442,2.028,0.000049,1.000000
-53.442,2.028,0.000049,1.000000
-52.442,2.028,0.000049,1.000000
-51.442,2.028,0.000049,1.000000
-50.442,2.027,0.000049,1.000000
-49.442,2.027,0.000049,1.000000
-48.442,2.027,0.000049,1.000000
-47.442,2.027,0.000049,1.000000
-46.442,2.027,0.000049,1.000000
-45.442,2.027,0.000049,1.000000
-44.442,2.027,0.000049,1.000000
-43.442,2.027,0.000049,1.000000
-42.442,2.027,0.000049,1.000000
-41.442,2.027,0.000049,1.000000
-40.442,2.027,0.000049,1.000000
-39.442,2.027,0.000049,1.000000
-38.442,2.027,0.000049,1.000000
-37.442,2.027,0.000049,1.000000
-36.442,2.027,0.000049,1.000000
-35.442,2.027,0.000049,1.000000
-34.442,2.027,0.000049,1.000000
-33.442,2.027,0.000049,1.000000
-32.442,2.027,0.000049,1.000000
-31.442,2.027,0.000049,1.000000
-30.442,2.026,0.000049,1.000000
-29.442,2.026,0.000049,1.000000
-28.442,2.026,0.000049,1.000000
-27.442,2.026,0.000049,1.000000
-26.442,2.026,0.000049,1.000000
-25.442,2.026,0.000049,1.000000
-24.442,2.026,0.000049,1.000000
-23.442,2.026,0.000049,1.000000
-22.442,2.026,0.000049,1.000000
-21.442,2.026,0.000049,1.000000
-20.442,2.026,0.000049,1.000000
-19.442,2.026,0.000049,1.000000
-18.442,2.026,0.000049,1.000000
-16.517,2.026,0.000049,1.000000
